field,type,example
file_macho_symhash,keyword,d3ccf195b62a9279c3c19af1080497ec
file_mime_type,keyword,
file_mode,keyword,0640
file_mtime,date,
file_name,keyword,example.png
file_origin_referrer_url,keyword,http://example.com/article1.html
file_origin_url,keyword,http://example.com/imgs/article1_img1.jpg
file_owner,keyword,alice
file_path,keyword,/home/alice/example.png
file_path_text,match_only_text,/home/alice/example.png
file_pe_architecture,keyword,x64
file_pe_company,keyword,Microsoft Corporation
file_pe_description,keyword,Paint
file_pe_file_version,keyword,6.3.9600.17415
file_pe_go_import_hash,keyword,10bddcb4cee42080f76c88d9ff964491
file_pe_go_imports,flattened,
file_pe_go_imports_names_entropy,long,
file_pe_go_imports_names_var_entropy,long,
file_pe_go_stripped,boolean,
file_pe_imphash,keyword,0c6803c4e922103c4dca5963aad36ddf
file_pe_import_hash,keyword,d41d8cd98f00b204e9800998ecf8427e
file_pe_imports,flattened,
file_pe_imports_names_entropy,long,
file_pe_imports_names_var_entropy,long,
file_pe_original_file_name,keyword,MSPAINT.EXE
file_pe_pehash,keyword,73ff189b63cd6be375a7ff25179a38d347651975
file_pe_product,keyword,Microsoft® Windows® Operating System
file_pe_sections,nested,
file_pe_sections_entropy,long,
file_pe_sections_name,keyword,
file_pe_sections_physical_size,long,
file_pe_sections_var_entropy,long,
file_pe_sections_virtual_size,long,
file_size,long,16384
file_target_path,keyword,
file_target_path_text,match_only_text,
file_type,keyword,file
file_uid,keyword,1001
file_x509_alternative_names,keyword,*.binaryflux.ai
file_x509_issuer_common_name,keyword,Example SHA2 High Assurance Server CA
file_x509_issuer_country,keyword,US
file_x509_issuer_distinguished_name,keyword,"C=US, O=Example Inc, OU=www.example.com, CN=Example SHA2 High Assurance Server CA"
file_x509_issuer_locality,keyword,Mountain View
file_x509_issuer_organization,keyword,Example Inc
file_x509_issuer_organizational_unit,keyword,www.example.com
file_x509_issuer_state_or_province,keyword,California
file_x509_not_after,date,2020-07-16T03:15:39Z
file_x509_not_before,date,2019-08-16T01:40:25Z
file_x509_public_key_algorithm,keyword,RSA
file_x509_public_key_curve,keyword,nistp521
file_x509_public_key_exponent,long,65537
file_x509_public_key_size,long,2048
file_x509_serial_number,keyword,55FBB9C7DEBF09809D12CCAA
file_x509_signature_algorithm,keyword,SHA256-RSA
file_x509_subject_common_name,keyword,shared.global.example.net
file_x509_subject_country,keyword,US
file_x509_subject_distinguished_name,keyword,"C=US, ST=California, L=San Francisco, O=Example, Inc., CN=shared.global.example.net"
